chunk,feature,importance_gain,importance_split
1,f001_AMT_ANNUITY-d-AMT_CREDIT,67438.01900434494,2680
1,f001_AMT_ANNUITY-d-CNT_CHILDREN,5564.926856994629,459
1,f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,6875.496891498566,569
1,f001_AMT_ANNUITY-d-cnt_adults,6698.254184246063,536
1,f001_AMT_CREDIT-d-AMT_INCOME_TOTAL,8825.960139751434,675
1,f001_AMT_CREDIT-d-cnt_adults,8236.905349254608,630
1,f001_AMT_GOODS_PRICE-d-AMT_INCOME_TOTAL,8535.823224544525,703
1,f001_AMT_ANNUITY,12456.436564445496,894
1,f001_AMT_REQ_CREDIT_BUREAU_HOUR,231.16315984725952,19
1,f001_AMT_REQ_CREDIT_BUREAU_QRT,3109.4853405952454,254
1,f001_AMT_REQ_CREDIT_BUREAU_DAY,397.4252986907959,36
1,f001_AMT_REQ_CREDIT_BUREAU_MON,1369.4403591156006,125
1,f001_AMT_INCOME_TOTAL-d-cnt_adults,3620.0182304382324,306
1,f001_AMT_INCOME_TOTAL-d-CNT_CHILDREN,3696.773615837097,319
1,f001_AMT_INCOME_TOTAL-d-CNT_FAM_MEMBERS,4650.192273139954,397
1,f001_AMT_REQ_CREDIT_BUREAU_sum,1920.636821269989,174
1,f001_AMT_INCOME_TOTAL,5732.236116886139,479
1,f001_AMT_REQ_CREDIT_BUREAU_WEEK,356.1572198867798,30
1,f001_AMT_REQ_CREDIT_BUREAU_YEAR,5229.58086681366,402
1,f001_BASEMENTAREA_MEDI,2250.4827127456665,192
1,f001_CNT_CHILDREN,213.5238494873047,18
1,f001_BASEMENTAREA_MODE,2821.1045813560486,248
1,f001_COMMONAREA_MODE,1836.8460659980774,167
1,f001_BASEMENTAREA_AVG,2497.081651687622,202
1,f001_CNT_FAM_MEMBERS,660.0600504875183,57
1,f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,10620.349044322968,740
1,f001_COMMONAREA_MEDI,1654.0048990249634,147
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,2478.347960472107,208
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,5235.93004822731,419
1,f001_COMMONAREA_AVG,1837.6055450439453,160
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH,16063.338658809662,1167
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_BIRTH,4485.677499771118,325
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,3546.4780893325806,301
