chunk,feature,importance_gain,importance_split
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_REGISTRATION,6415.481378555298,427
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,2740.189247608185,212
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_ID_PUBLISH,7268.848909854889,458
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,4730.726763248444,210
1,f001_DAYS_REGISTRATION-d-DAYS_EMPLOYED,7099.4289536476135,437
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,1699.0901956558228,125
1,f001_DAYS_REGISTRATION-d-DAYS_BIRTH,4838.281449794769,332
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,5183.1065855026245,386
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,1837.9042887687683,142
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,2307.8226776123047,183
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,2841.2245392799377,209
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,1398.0592575073242,107
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,3835.798635482788,278
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,2377.7459416389465,176
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_BIRTH,1949.8665390014648,143
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,4192.753468036652,306
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,5284.609195232391,337
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_EMPLOYED,1835.654504776001,135
1,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,3319.5276279449463,255
1,f001_EMERGENCYSTATE_MODE,52.081820487976074,5
1,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,2792.3110551834106,213
1,f001_ENTRANCES_AVG,3016.1553134918213,143
1,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED,4977.060440540314,292
1,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,1973.02605676651,151
1,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,3591.78653383255,257
