chunk,feature,importance_gain,importance_split
1,f001_AMT_CREDIT-d-CNT_CHILDREN,3231.8018674850464,292
1,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,11505.736746311188,960
1,f001_AMT_GOODS_PRICE-d-CNT_CHILDREN,2753.4845671653748,259
1,f001_AMT_CREDIT-d-AMT_ANNUITY,29558.02852678299,1755
1,f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,5435.719878196716,465
1,f001_AMT_CREDIT,6511.893916130066,457
1,f001_AMT_GOODS_PRICE-d-CNT_FAM_MEMBERS,4159.939576625824,367
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,10565.921384811401,638
1,f001_AMT_GOODS_PRICE-d-cnt_adults,5865.16305065155,465
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,11703.121389389038,567
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,13927.06151676178,833
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,6761.91233587265,503
1,f001_AMT_INCOME_TOTAL_by_ORGANIZATION_TYPE,364.4669613838196,35
1,f001_CODE_GENDER,6412.728844165802,299
1,f001_AMT_GOODS_PRICE,8653.466433048248,582
1,f001_CNT_CHILDREN-d-CNT_FAM_MEMBERS,224.4212589263916,23
1,f001_APARTMENTS_AVG,1835.2817811965942,164
1,f001_APARTMENTS_MEDI,1751.379828453064,164
1,f001_APARTMENTS_MODE,2507.1556100845337,233
1,f001_DAYS_BIRTH,5068.469947338104,357
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_BIRTH,5328.501544952393,480
1,f001_DAYS_EMPLOYED,10732.426713466644,552
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,6958.685456037521,521
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,9709.223378896713,732
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,5435.030164241791,437
1,f001_DAYS_ID_PUBLISH,9242.752223968506,726
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,5591.759623527527,489
1,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,4763.152971506119,436
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,5031.97651720047,422
1,f001_DEF_60_CNT_SOCIAL_CIRCLE,897.2953400611877,64
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,5848.584342002869,531
1,f001_DEF_30_CNT_SOCIAL_CIRCLE,1276.8712258338928,89
