chunk,feature,importance_gain,importance_split
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,10245.974208831787,391
1,f001_AMT_CREDIT-d-CNT_CHILDREN,2132.4180455207825,181
1,f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,3411.716045856476,268
1,f001_AMT_CREDIT,1499.4699530601501,98
1,f001_AMT_GOODS_PRICE-d-CNT_FAM_MEMBERS,2835.283612728119,214
1,f001_AMT_GOODS_PRICE-d-CNT_CHILDREN,1636.7906694412231,131
1,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,4732.723648548126,373
1,f001_AMT_GOODS_PRICE-d-cnt_adults,3732.5237789154053,281
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,11497.1963763237,563
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,7389.07431602478,390
1,f001_AMT_CREDIT-d-AMT_ANNUITY,20280.165387630463,1077
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,4525.6080803871155,282
1,f001_AMT_INCOME_TOTAL_by_ORGANIZATION_TYPE,191.678936958313,15
1,f001_CNT_CHILDREN-d-CNT_FAM_MEMBERS,151.58427906036377,12
1,f001_CODE_GENDER,5711.58195066452,241
1,f001_AMT_GOODS_PRICE,4062.3172640800476,220
1,f001_DAYS_BIRTH,3683.531985282898,217
1,f001_APARTMENTS_MEDI,1220.7550101280212,100
1,f001_APARTMENTS_AVG,1358.2468919754028,108
1,f001_APARTMENTS_MODE,1709.4498128890991,133
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,5854.178747177124,354
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,3582.208384037018,262
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_BIRTH,2823.737886428833,230
1,f001_DAYS_EMPLOYED,8322.772364139557,314
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,6789.316494941711,438
1,f001_DAYS_ID_PUBLISH,6912.810849189758,467
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,3560.0303562283516,256
1,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,2889.0461988449097,235
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,3345.9613032341003,266
1,f001_DAYS_LAST_PHONE_CHANGE,4106.024374485016,298
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,3722.396973133087,302
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,3437.2286529541016,250
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,3147.1527609825134,272
1,f001_DEF_60_CNT_SOCIAL_CIRCLE,730.7959856987,48
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH,4113.84317111969,323
1,f001_DEF_30_CNT_SOCIAL_CIRCLE,1154.2493906021118,66
1,f001_DEF_30_CNT_SOCIAL_CIRCLE-d-OBS_30_CNT_SOCIAL_CIRCLE,2805.8929743766785,174
1,f001_DEF_60_CNT_SOCIAL_CIRCLE-d-OBS_60_CNT_SOCIAL_CIRCLE,2110.4357833862305,138
1,f001_EXT_SOURCES_1-2-3,2962.9554114341736,240
1,f001_ELEVATORS_MODE,251.508451461792,23
1,f001_DAYS_REGISTRATION,3771.231812477112,309
1,f001_ELEVATORS_MEDI,288.3568506240845,21
1,f001_EXT_SOURCES_1-2,3871.7596864700317,290
1,f001_ELEVATORS_AVG,681.8769326210022,55
1,f001_EXT_SOURCES_std,5352.269721984863,378
1,f001_EXT_SOURCE_1,6756.245297908783,458
1,f001_EXT_SOURCE_2,19289.69468355179,691
1,f001_EXT_SOURCES_prod,9386.386370182037,287
1,f001_EXT_SOURCES_2-3,9180.87072467804,574
1,f001_EXT_SOURCES_2-1-3,2381.411696434021,185
1,f001_EXT_SOURCES_sum,29881.451856136322,492
1,f001_EXT_SOURCE_3,25148.716304302216,839
1,f001_EXT_SOURCES_mean,143841.52790355682,895
1,f001_FLAG_PHONE,416.972128868103,37
1,f001_FLAG_DOCUMENT_6,53.71597909927368,5
1,f001_FLAG_WORK_PHONE,2054.0174908638,141
1,f001_FLAG_EMP_PHONE,0.0,0
1,f001_FLAG_DOCUMENT_3,700.783130645752,29
1,f001_LIVE_CITY_NOT_WORK_CITY,90.72797107696533,8
1,f001_FLOORSMAX_AVG,615.5740022659302,50
1,f001_HOUR_APPR_PROCESS_START,1520.5909895896912,125
1,f001_FLOORSMAX_MODE,209.76871061325073,18
1,f001_FLOORSMIN_MODE,426.4004616737366,34
1,f001_FLOORSMAX_MEDI,333.1772503852844,28
