,chunk,feature,importance_gain,importance_split,auc_train,auc_valid
1837,2,f103_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_max,59.0726,4,0.85107,0.77225
1402,2,f101_active_AMT_ANNUITY_s_app_AMT_INCOME_TOTAL_max,361.86406,24,0.85107,0.77225
1844,2,f101_nyg_low_normal_NAME_CONTRACT_STATUS_Refused_mean,52.6862,4,0.85107,0.77225
956,2,f101_nyg_high_AMT_DOWN_PAYMENT_mean,2590.72545,86,0.85107,0.77225
1836,2,f101_completed_AMT_GOODS_PRICE_s_app_AMT_CREDIT_min,61.22,5,0.85107,0.77225
1848,2,f102_nyg_low_normal_cnt_paid_ratio_max,47.61229,4,0.85107,0.77225
1835,2,f103_nyg_low_normal_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_max,61.2523,4,0.85107,0.77225
957,2,f101_nyg_high_AMT_CREDIT_d_AMT_ANNUITY_max,2520.69341,82,0.85107,0.77225
1855,2,f103_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_mean,41.6336,3,0.85107,0.77225
1397,2,f101_active_DAYS_LAST_DUE_d_app_DAYS_BIRTH_min,364.5585,18,0.85107,0.77225
1395,2,f101_approved_AMT_CREDIT_d_AMT_ANNUITY_max,365.11462,29,0.85107,0.77225
1843,2,f102_nyg_middle_AMT_APPLICATION_d_app_AMT_ANNUITY_diff_max,52.87212,4,0.85107,0.77225
1701,2,f101_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,193.06169,14,0.85107,0.77225
1703,2,f101_active_DAYS_LAST_DUE_s_DAYS_LAST_DUE_1ST_VERSION_max,192.7977,11,0.85107,0.77225
1698,2,f101_approved_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,194.9795,10,0.85107,0.77225
1841,2,f103_approved_cnt_unpaid_min,56.0443,3,0.85107,0.77225
949,2,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_REGISTRATION_max,5085.8241,211,0.85107,0.77225
1147,2,f101_active_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,600.64013,36,0.85107,0.77225
1145,2,f101_completed_DAYS_LAST_DUE_d_app_DAYS_LAST_PHONE_CHANGE_max,604.82974,42,0.85107,0.77225
1720,2,f101_completed_AMT_ANNUITY_s_app_AMT_GOODS_PRICE_mean,180.3163,11,0.85107,0.77225
1700,2,f108_DAYS_TERMINATION-s-app_DAYS_ID_PUBLISH,193.469,15,0.85107,0.77225
1384,2,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_pctchange_max,369.33828,28,0.85107,0.77225
1833,2,f103_nyg_middle_AMT_GOODS_PRICE_d_total_debt_mean,64.1344,4,0.85107,0.77225
1413,2,f101_completed_total_debt_std,349.25792,21,0.85107,0.77225
1412,2,f101_completed_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_min,351.80126,25,0.85107,0.77225
1408,2,f108_DAYS_TERMINATION-d-app_DAYS_LAST_PHONE_CHANGE,355.13276,24,0.85107,0.77225
1409,2,f104_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_mean,354.8206,27,0.85107,0.77225
1152,2,f101_completed_DAYS_TERMINATION_d_app_DAYS_LAST_PHONE_CHANGE_min,593.56965,45,0.85107,0.77225
1716,2,f103_nyg_high_amt_paid_sum,182.46046,13,0.85107,0.77225
1717,2,f101_approved_AMT_CREDIT_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,182.41278,12,0.85107,0.77225
1151,2,f101_completed_AMT_GOODS_PRICE_d_AMT_CREDIT_min,594.69478,40,0.85107,0.77225
1148,2,f101_approved_DAYS_TERMINATION_s_DAYS_FIRST_DUE_mean,599.14354,46,0.85107,0.77225
1713,2,f101_completed_AMT_CREDIT_s_app_AMT_INCOME_TOTAL_mean,185.37459,14,0.85107,0.77225
1162,2,f101_approved_AMT_CREDIT_d_AMT_ANNUITY_diff_min,576.05925,44,0.85107,0.77225
1158,2,f101_approved_DAYS_DECISION_d_app_DAYS_ID_PUBLISH_min,581.25285,40,0.85107,0.77225
1719,2,f103_active_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_mean,181.64393,8,0.85107,0.77225
1699,2,f101_nyg_middle_cnt_paid_min,194.00223,13,0.85107,0.77225
1707,2,f104_nyg_low_normal_amt_paid_sum,191.5846,13,0.85107,0.77225
1702,2,f101_approved_total_debt_min,192.89979,14,0.85107,0.77225
1146,2,f101_nyg_high_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_max,604.30044,37,0.85107,0.77225
1141,2,f101_approved_DAYS_FIRST_DUE_d_app_DAYS_LAST_PHONE_CHANGE_mean,608.58576,40,0.85107,0.77225
1142,2,f101_approved_interest_rate_diff_max_div_min,605.27726,42,0.85107,0.77225
1696,2,f101_nyg_low_normal_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_mean,195.8091,12,0.85107,0.77225
1697,2,f103_nyg_low_normal_amt_paid_sum,195.72229,13,0.85107,0.77225
1173,2,f101_completed_AMT_APPLICATION_s_app_AMT_INCOME_TOTAL_max,558.00295,32,0.85107,0.77225
1170,2,f101_approved_AMT_GOODS_PRICE_s_app_AMT_INCOME_TOTAL_pctchange_max,559.70884,44,0.85107,0.77225
1140,2,f101_nyg_high_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,609.41751,39,0.85107,0.77225
1383,2,f101_nyg_high_total_debt_max_div_min,374.36112,26,0.85107,0.77225
1415,2,f103_approved_AMT_CREDIT_d_AMT_ANNUITY_min,347.48624,24,0.85107,0.77225
1416,2,f108_DAYS_FIRST_DUE-s-app_DAYS_REGISTRATION,347.00531,27,0.85107,0.77225
1417,2,f101_nyg_low_normal_total_debt_std,346.94703,24,0.85107,0.77225
1420,2,f101_nyg_middle_AMT_APPLICATION_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,343.51559,22,0.85107,0.77225
962,2,f101_approved_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_FIRST_DUE_mean,2240.70006,89,0.85107,0.77225
1419,2,f101_nyg_low_normal_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_mean,345.50681,26,0.85107,0.77225
1424,2,f104_active_AMT_CREDIT_d_total_debt_min,341.1658,19,0.85107,0.77225
1418,2,f101_approved_AMT_ANNUITY_s_app_AMT_INCOME_TOTAL_min,345.69563,21,0.85107,0.77225
1839,2,f102_nyg_high_AMT_GOODS_PRICE_d_total_debt_min,56.86,4,0.85107,0.77225
1410,2,f101_completed_DAYS_LAST_DUE_d_app_DAYS_BIRTH_min,352.87132,25,0.85107,0.77225
965,2,f102_approved_DAYS_FIRST_DRAWING_s_app_DAYS_EMPLOYED_mean,2097.4807,72,0.85107,0.77225
967,2,f101_completed_DAYS_FIRST_DUE_s_app_DAYS_EMPLOYED_max,2060.2157,94,0.85107,0.77225
1690,2,f104_completed_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,197.50695,12,0.85107,0.77225
1171,2,f101_approved_DAYS_TERMINATION_d_app_DAYS_BIRTH_min,559.27061,37,0.85107,0.77225
1167,2,f102_approved_interest_rate_mean,561.4362,33,0.85107,0.77225
1168,2,f101_approved_DAYS_LAST_DUE_1ST_VERSION_s_app_DAYS_LAST_PHONE_CHANGE_max,559.97693,41,0.85107,0.77225
1692,2,f108_AMT_APPLICATION-d-app_AMT_GOODS_PRICE,196.95921,15,0.85107,0.77225
1704,2,f102_approved_AMT_GOODS_PRICE_s_app_AMT_INCOME_TOTAL_mean,192.58751,14,0.85107,0.77225
1705,2,f105_future_payment_1m_min,192.3537,13,0.85107,0.77225
1706,2,f101_nyg_high_AMT_GOODS_PRICE_min,192.33637,14,0.85107,0.77225
1689,2,f101_completed_AMT_ANNUITY_s_app_AMT_GOODS_PRICE_max,197.64829,12,0.85107,0.77225
1175,2,f101_approved_DAYS_LAST_DUE_d_app_DAYS_BIRTH_min,557.62667,36,0.85107,0.77225
1722,2,f101_active_AMT_CREDIT_d_AMT_ANNUITY_min,176.3113,13,0.85107,0.77225
1138,2,f103_nyg_high_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_mean,613.4994,37,0.85107,0.77225
1169,2,f101_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_REGISTRATION_min,559.9737,30,0.85107,0.77225
1166,2,f101_refused_DAYS_DECISION_d_app_DAYS_LAST_PHONE_CHANGE_mean,564.4134,31,0.85107,0.77225
1721,2,f103_approved_NAME_PRODUCT_TYPE_walk_in_mean,177.4466,10,0.85107,0.77225
1178,2,f101_nyg_middle_AMT_CREDIT_d_AMT_APPLICATION_min,553.60282,32,0.85107,0.77225
1174,2,f101_nyg_high_AMT_CREDIT_d_AMT_ANNUITY_min,557.70129,32,0.85107,0.77225
1427,2,f104_completed_AMT_CREDIT_d_AMT_APPLICATION_mean,338.8572,19,0.85107,0.77225
1425,2,f101_nyg_low_normal_interest_rate_max,339.9757,25,0.85107,0.77225
1426,2,f101_nyg_high_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_min,339.4886,19,0.85107,0.77225
1421,2,f101_approved_total_debt_std_div_mean,343.45946,23,0.85107,0.77225
1422,2,f101_nyg_low_action_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_min,343.4383,18,0.85107,0.77225
1429,2,f106_NAME_CONTRACT_STATUS-Refused_ref,338.3967,20,0.85107,0.77225
1378,2,f101_nyg_low_normal_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_mean,379.01885,23,0.85107,0.77225
1375,2,f103_approved_AMT_GOODS_PRICE_d_AMT_ANNUITY_mean,380.80719,26,0.85107,0.77225
1376,2,f101_nyg_high_AMT_ANNUITY_s_app_AMT_CREDIT_max,379.7344,19,0.85107,0.77225
1380,2,f101_approved_AMT_GOODS_PRICE_s_app_AMT_INCOME_TOTAL_mean,376.58683,26,0.85107,0.77225
1829,2,f103_approved_amt_paid_mean,70.46715,6,0.85107,0.77225
1831,2,f101_nyg_high_amt_unpaid_mean,67.6587,3,0.85107,0.77225
1830,2,f103_approved_total_debt_mean,69.54711,5,0.85107,0.77225
1433,2,f101_approved_DAYS_TERMINATION_s_app_DAYS_EMPLOYED_min,336.32684,23,0.85107,0.77225
1432,2,f101_nyg_middle_amt_paid_max,336.77499,21,0.85107,0.77225
1428,2,f108_DAYS_TERMINATION-s-app_DAYS_EMPLOYED,338.60633,22,0.85107,0.77225
970,2,f101_approved_DAYS_FIRST_DUE_d_app_DAYS_EMPLOYED_min,1964.87049,72,0.85107,0.77225
972,2,f101_approved_AMT_GOODS_PRICE_d_app_AMT_ANNUITY_max,1898.03639,71,0.85107,0.77225
1382,2,f101_nyg_middle_AMT_ANNUITY_s_app_AMT_ANNUITY_min,374.92111,23,0.85107,0.77225
1411,2,f108_past_payment_12m,351.99427,27,0.85107,0.77225
1172,2,f101_completed_AMT_CREDIT_d_AMT_APPLICATION_max,558.6247,37,0.85107,0.77225
1177,2,f101_nyg_low_normal_AMT_GOODS_PRICE_d_AMT_CREDIT_max,554.77097,28,0.85107,0.77225
1685,2,f101_nyg_high_amt_unpaid_max,201.5031,7,0.85107,0.77225
1139,2,f103_approved_DAYS_FIRST_DRAWING_s_app_DAYS_ID_PUBLISH_mean,613.2091,32,0.85107,0.77225
1691,2,f101_nyg_low_normal_amt_paid_min,197.06747,15,0.85107,0.77225
1694,2,f103_approved_amt_paid_min,196.1448,14,0.85107,0.77225
1686,2,f103_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_REGISTRATION_mean,200.98217,16,0.85107,0.77225
1143,2,f101_completed_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_REGISTRATION_min,605.18501,40,0.85107,0.77225
1144,2,f101_nyg_high_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_std,605.16308,35,0.85107,0.77225
1137,2,f101_refused_interest_rate_min,621.60223,33,0.85107,0.77225
1176,2,f101_nyg_middle_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,556.45799,35,0.85107,0.77225
1182,2,f105_prevapp_future_payment_15m,548.36499,31,0.85107,0.77225
1683,2,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_std_div_mean,201.89149,15,0.85107,0.77225
1688,2,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_std_div_mean,200.32069,14,0.85107,0.77225
1684,2,f108_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH,201.6187,15,0.85107,0.77225
1728,2,f107_WEEKDAY_APPR_PROCESS_START,173.94281,13,0.85107,0.77225
1726,2,f102_completed_DAYS_FIRST_DUE_d_app_DAYS_EMPLOYED_mean,174.6436,12,0.85107,0.77225
1731,2,f101_nyg_high_AMT_APPLICATION_d_app_AMT_INCOME_TOTAL_min,173.05647,14,0.85107,0.77225
1134,2,f101_approved_DAYS_FIRST_DUE_s_app_DAYS_EMPLOYED_max,627.00561,33,0.85107,0.77225
1183,2,f102_refused_DAYS_DECISION_s_app_DAYS_LAST_PHONE_CHANGE_min,546.82703,23,0.85107,0.77225
1437,2,f108_DAYS_LAST_DUE-d-app_DAYS_LAST_PHONE_CHANGE,332.80912,23,0.85107,0.77225
1826,2,f103_nyg_low_normal_AMT_APPLICATION_d_app_AMT_ANNUITY_mean,77.4633,5,0.85107,0.77225
987,2,f102_nyg_middle_AMT_GOODS_PRICE_d_AMT_CREDIT_min,1444.13872,75,0.85107,0.77225
1371,2,f101_nyg_high_total_debt_diff_max,384.3966,28,0.85107,0.77225
984,2,f101_nyg_high_DAYS_DECISION_d_app_DAYS_BIRTH_min,1535.87395,78,0.85107,0.77225
977,2,f101_completed_AMT_CREDIT_d_AMT_APPLICATION_min,1688.40149,89,0.85107,0.77225
975,2,f102_refused_DAYS_DECISION_s_app_DAYS_BIRTH_max,1774.41156,61,0.85107,0.77225
973,2,f101_approved_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_FIRST_DUE_std,1856.99285,67,0.85107,0.77225
1436,2,f101_completed_AMT_CREDIT_d_total_debt_pctchange_max,334.16025,21,0.85107,0.77225
1423,2,f108_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_BIRTH,343.2554,26,0.85107,0.77225
1381,2,f108_DAYS_FIRST_DUE-d-app_DAYS_ID_PUBLISH,375.03716,28,0.85107,0.77225
979,2,f101_completed_DAYS_LAST_DUE_d_app_DAYS_EMPLOYED_min,1664.78201,55,0.85107,0.77225
980,2,f101_refused_AMT_APPLICATION_d_app_AMT_ANNUITY_std_div_mean,1630.85409,83,0.85107,0.77225
1133,2,f101_refused_AMT_ANNUITY_s_app_AMT_INCOME_TOTAL_max,631.6759,40,0.85107,0.77225
1681,2,f101_approved_AMT_ANNUITY_s_app_AMT_CREDIT_d_app_AMT_INCOME_TOTAL_max,203.03236,15,0.85107,0.77225
1733,2,f103_nyg_middle_AMT_GOODS_PRICE_d_total_debt_max,172.9301,10,0.85107,0.77225
1136,2,f101_completed_interest_rate_diff_min,622.72081,36,0.85107,0.77225
1181,2,f103_approved_DAYS_DECISION_d_app_DAYS_EMPLOYED_min,550.85787,36,0.85107,0.77225
1679,2,f101_approved_AMT_APPLICATION_s_app_AMT_ANNUITY_min,204.2177,13,0.85107,0.77225
1723,2,f103_nyg_middle_AMT_GOODS_PRICE_s_app_AMT_INCOME_TOTAL_max,174.9743,11,0.85107,0.77225
1724,2,f101_nyg_high_AMT_APPLICATION_d_app_AMT_INCOME_TOTAL_mean,174.75327,12,0.85107,0.77225
1725,2,f108_DAYS_TERMINATION-s-app_DAYS_LAST_PHONE_CHANGE,174.7518,14,0.85107,0.77225
1669,2,f101_nyg_middle_cnt_unpaid_min,209.59604,13,0.85107,0.77225
1670,2,f105_past_payment_3m_min,208.82244,16,0.85107,0.77225
1682,2,f102_refused_total_debt_mean,202.72871,14,0.85107,0.77225
1673,2,f101_nyg_middle_AMT_CREDIT_d_total_debt_pctchange_max,206.91701,15,0.85107,0.77225
1675,2,f103_nyg_middle_AMT_GOODS_PRICE_d_AMT_ANNUITY_mean,206.357,12,0.85107,0.77225
1672,2,f103_completed_AMT_CREDIT_d_AMT_APPLICATION_max,206.9794,17,0.85107,0.77225
1736,2,f101_nyg_high_cnt_unpaid_sum,171.5934,5,0.85107,0.77225
1735,2,f102_nyg_low_normal_total_debt_mean,171.99606,12,0.85107,0.77225
1369,2,f101_nyg_high_AMT_GOODS_PRICE_d_AMT_ANNUITY_min,387.82653,25,0.85107,0.77225
1439,2,f103_approved_total_debt_diff_min,331.81028,26,0.85107,0.77225
1440,2,f101_nyg_middle_AMT_ANNUITY_s_app_AMT_INCOME_TOTAL_min,331.67666,24,0.85107,0.77225
1441,2,f105_past_payment_2m_max,331.63609,17,0.85107,0.77225
1823,2,f103_completed_total_debt_pctchange_min,80.95596,4,0.85107,0.77225
1827,2,f102_nyg_middle_cnt_unpaid_max,76.5018,5,0.85107,0.77225
995,2,f102_active_AMT_CREDIT_d_AMT_APPLICATION_max,1244.20067,60,0.85107,0.77225
1443,2,f101_completed_AMT_ANNUITY_s_app_AMT_CREDIT_max,330.6644,14,0.85107,0.77225
1825,2,f103_refused_total_debt_max,77.6762,4,0.85107,0.77225
1365,2,f101_refused_DAYS_DECISION_d_app_DAYS_LAST_PHONE_CHANGE_max,392.11602,22,0.85107,0.77225
1367,2,f108_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH,389.272,29,0.85107,0.77225
981,2,f101_nyg_high_AMT_CREDIT_d_AMT_APPLICATION_min,1597.1393,72,0.85107,0.77225
1372,2,f101_completed_DAYS_FIRST_DUE_d_app_DAYS_BIRTH_min,383.28691,27,0.85107,0.77225
1373,2,f101_active_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_min,383.1682,20,0.85107,0.77225
1192,2,f103_refused_DAYS_DECISION_s_app_DAYS_EMPLOYED_min,535.8269,23,0.85107,0.77225
1193,2,f101_nyg_middle_AMT_ANNUITY_s_app_AMT_ANNUITY_mean,535.68813,37,0.85107,0.77225
1186,2,f101_nyg_middle_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_ID_PUBLISH_min,540.99375,31,0.85107,0.77225
1187,2,f105_past_payment_4m_mean,540.61455,33,0.85107,0.77225
1664,2,f105_past_payment_12m_max,211.19247,18,0.85107,0.77225
1665,2,f101_nyg_high_interest_rate_std_div_mean,211.12097,17,0.85107,0.77225
1678,2,f103_approved_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,204.58983,16,0.85107,0.77225
1191,2,f101_approved_DAYS_LAST_DUE_d_app_DAYS_BIRTH_mean,537.49632,39,0.85107,0.77225
1738,2,f101_approved_AMT_ANNUITY_s_app_AMT_CREDIT_std,169.2189,12,0.85107,0.77225
1739,2,f103_completed_interest_rate_min,168.4492,12,0.85107,0.77225
1737,2,f104_approved_AMT_CREDIT_d_AMT_ANNUITY_max,169.7093,13,0.85107,0.77225
1184,2,f107_AMT_ANNUITY-s-app_AMT_INCOME_TOTAL,543.92281,41,0.85107,0.77225
1676,2,f101_nyg_middle_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_min,205.2565,11,0.85107,0.77225
1677,2,f103_completed_AMT_CREDIT_d_total_debt_mean,204.68797,13,0.85107,0.77225
1666,2,f104_completed_AMT_CREDIT_d_AMT_APPLICATION_min,210.8411,13,0.85107,0.77225
1198,2,f101_active_amt_unpaid_std,527.37541,31,0.85107,0.77225
1199,2,f101_approved_AMT_GOODS_PRICE_d_AMT_ANNUITY_min,522.00212,37,0.85107,0.77225
1197,2,f105_prevapp_future_payment_14m,528.6941,33,0.85107,0.77225
1364,2,f101_active_amt_unpaid_max,392.81304,29,0.85107,0.77225
992,2,f101_approved_DAYS_LAST_DUE_d_app_DAYS_LAST_PHONE_CHANGE_max_div_min,1268.90336,64,0.85107,0.77225
993,2,f101_refused_total_debt_max,1268.62145,59,0.85107,0.77225
1361,2,f101_approved_DAYS_TERMINATION_s_app_DAYS_LAST_PHONE_CHANGE_min,395.4596,28,0.85107,0.77225
1449,2,f101_nyg_low_normal_AMT_GOODS_PRICE_d_app_AMT_ANNUITY_min,326.36461,24,0.85107,0.77225
1447,2,f101_nyg_middle_AMT_APPLICATION_s_app_AMT_INCOME_TOTAL_min,326.69551,23,0.85107,0.77225
1445,2,f101_nyg_high_RATE_DOWN_PAYMENT_std,328.8334,20,0.85107,0.77225
1446,2,f105_past_payment_7m_max,328.55565,23,0.85107,0.77225
986,2,f101_approved_AMT_CREDIT_d_total_debt_max_div_min,1468.83114,71,0.85107,0.77225
1822,2,f102_nyg_high_AMT_GOODS_PRICE_d_total_debt_max,81.30955,7,0.85107,0.77225
1363,2,f101_nyg_low_normal_DAYS_LAST_DUE_d_app_DAYS_ID_PUBLISH_min,393.99534,24,0.85107,0.77225
1368,2,f101_completed_AMT_GOODS_PRICE_d_AMT_ANNUITY_min,387.89795,30,0.85107,0.77225
991,2,f101_completed_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_std_div_mean,1325.78229,47,0.85107,0.77225
1660,2,f108_DAYS_LAST_DUE-s-app_DAYS_LAST_PHONE_CHANGE,212.70628,16,0.85107,0.77225
1196,2,f108_AMT_APPLICATION-s-app_AMT_GOODS_PRICE,529.12507,32,0.85107,0.77225
1194,2,f102_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_max,530.49872,34,0.85107,0.77225
1132,2,f107_NAME_CONTRACT_STATUS,635.4675,22,0.85107,0.77225
1734,2,f107_AMT_CREDIT-d-total_debt_pctchange,172.5117,11,0.85107,0.77225
1661,2,f104_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_BIRTH_min,212.65983,15,0.85107,0.77225
1662,2,f101_completed_AMT_GOODS_PRICE_s_app_AMT_CREDIT_d_app_AMT_INCOME_TOTAL_min,211.50616,16,0.85107,0.77225
1131,2,f101_approved_SELLERPLACE_AREA_min,638.54263,47,0.85107,0.77225
1130,2,f101_approved_DAYS_LAST_DUE_d_app_DAYS_LAST_PHONE_CHANGE_min,643.52712,42,0.85107,0.77225
1740,2,f101_active_total_debt_max,168.35041,12,0.85107,0.77225
1195,2,f101_approved_AMT_ANNUITY_s_app_AMT_GOODS_PRICE_mean,529.8621,27,0.85107,0.77225
1655,2,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_std,217.34201,16,0.85107,0.77225
1202,2,f107_DAYS_LAST_DUE_1ST_VERSION-d-app_DAYS_ID_PUBLISH,515.00258,32,0.85107,0.77225
1357,2,f102_approved_AMT_APPLICATION_d_app_AMT_INCOME_TOTAL_min,397.97847,31,0.85107,0.77225
1358,2,f108_DAYS_FIRST_DUE-s-app_DAYS_EMPLOYED,397.77419,28,0.85107,0.77225
1360,2,f103_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_BIRTH_mean,397.19211,24,0.85107,0.77225
1460,2,f101_nyg_middle_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_min,320.02466,22,0.85107,0.77225
1355,2,f108_DAYS_TERMINATION,398.44667,26,0.85107,0.77225
1350,2,f101_nyg_middle_AMT_DOWN_PAYMENT_max,400.105,26,0.85107,0.77225
1351,2,f101_completed_total_debt_pctchange_min,399.74231,23,0.85107,0.77225
1453,2,f101_approved_DAYS_TERMINATION_s_app_DAYS_ID_PUBLISH_std_div_mean,324.49219,20,0.85107,0.77225
1353,2,f101_completed_AMT_CREDIT_d_AMT_ANNUITY_mean,398.64676,29,0.85107,0.77225
1354,2,f101_nyg_low_normal_AMT_ANNUITY_d_app_AMT_CREDIT_max,398.59197,23,0.85107,0.77225
1356,2,f101_completed_DAYS_LAST_DUE_d_app_DAYS_BIRTH_max,397.9826,25,0.85107,0.77225
1366,2,f101_approved_AMT_GOODS_PRICE_d_app_AMT_ANNUITY_min,391.2597,21,0.85107,0.77225
1444,2,f101_nyg_middle_SELLERPLACE_AREA_max,329.35435,25,0.85107,0.77225
1821,2,f101_nyg_middle_CODE_REJECT_REASON_XAP_mean,83.1455,5,0.85107,0.77225
1200,2,f104_approved_AMT_GOODS_PRICE_d_AMT_CREDIT_min,519.36845,35,0.85107,0.77225
1201,2,f101_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_max_div_min,518.49871,31,0.85107,0.77225
1658,2,f101_completed_AMT_APPLICATION_min,215.14919,16,0.85107,0.77225
1651,2,f103_completed_AMT_ANNUITY_s_app_AMT_ANNUITY_mean,218.59007,16,0.85107,0.77225
1652,2,f103_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_min,218.44356,17,0.85107,0.77225
1654,2,f101_completed_AMT_APPLICATION_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max_div_min,217.9735,11,0.85107,0.77225
1650,2,f104_completed_AMT_ANNUITY_s_app_AMT_ANNUITY_max,219.23556,14,0.85107,0.77225
1645,2,f101_approved_AMT_CREDIT_s_app_AMT_INCOME_TOTAL_min,220.10354,17,0.85107,0.77225
1646,2,f108_AMT_CREDIT-d-app_AMT_GOODS_PRICE,219.95993,15,0.85107,0.77225
1647,2,f105_past_payment_11m_mean,219.6763,17,0.85107,0.77225
1644,2,f101_completed_total_debt_min,220.5849,18,0.85107,0.77225
1657,2,f101_nyg_high_amt_paid_max,215.16502,15,0.85107,0.77225
1129,2,f107_DAYS_LAST_DUE_1ST_VERSION-s-app_DAYS_BIRTH,644.50846,36,0.85107,0.77225
1746,2,f108_DAYS_DECISION-d-app_DAYS_LAST_PHONE_CHANGE,163.57571,12,0.85107,0.77225
1648,2,f103_approved_total_debt_max,219.49545,17,0.85107,0.77225
1649,2,f101_nyg_middle_interest_rate_pctchange_max,219.4378,16,0.85107,0.77225
1467,2,f101_completed_AMT_CREDIT_d_AMT_ANNUITY_max,317.06158,25,0.85107,0.77225
1456,2,f102_nyg_low_normal_AMT_CREDIT_d_AMT_APPLICATION_mean,323.08717,19,0.85107,0.77225
1457,2,f108_DAYS_DECISION-s-app_DAYS_REGISTRATION,323.07123,24,0.85107,0.77225
1004,2,f107_AMT_ANNUITY-s-app_AMT_ANNUITY,1149.79851,67,0.85107,0.77225
1005,2,f101_refused_HOUR_APPR_PROCESS_START_std_div_mean,1143.08299,55,0.85107,0.77225
1465,2,f101_nyg_low_action_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,317.60947,23,0.85107,0.77225
1466,2,f108_AMT_ANNUITY-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL,317.46287,21,0.85107,0.77225
1018,2,f101_approved_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_std,1075.08086,39,0.85107,0.77225
1458,2,f101_approved_cnt_paid_std_div_mean,320.69808,21,0.85107,0.77225
1459,2,f101_nyg_high_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,320.37501,22,0.85107,0.77225
1817,2,f101_nyg_high_cnt_paid_min,88.5839,6,0.85107,0.77225
1815,2,f101_completed_NAME_YIELD_GROUP_middle_mean,90.10375,7,0.85107,0.77225
1816,2,f101_active_cnt_paid_min,89.5019,7,0.85107,0.77225
1451,2,f101_nyg_low_normal_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_min,324.56602,23,0.85107,0.77225
