chunk,feature,importance_gain,importance_split
1,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,12632.842234611511,1051
1,f001_AMT_CREDIT-d-CNT_CHILDREN,3960.5301699638367,336
1,f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,6907.789286136627,580
1,f001_AMT_GOODS_PRICE-d-CNT_FAM_MEMBERS,5928.650476932526,493
1,f001_AMT_CREDIT-d-AMT_ANNUITY,25622.60861349106,1638
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,13769.71598482132,711
1,f001_AMT_GOODS_PRICE-d-cnt_adults,5879.571706771851,488
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,10217.327073097229,691
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,15604.635339736938,1018
1,f001_AMT_CREDIT,7755.576469898224,593
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,8704.521640777588,629
1,f001_AMT_GOODS_PRICE-d-CNT_CHILDREN,3096.240523815155,274
1,f001_AMT_INCOME_TOTAL_by_ORGANIZATION_TYPE,704.4724502563477,59
1,f001_CODE_GENDER,5775.50190448761,306
1,f001_AMT_GOODS_PRICE,8903.420098304749,649
1,f001_CNT_CHILDREN-d-CNT_FAM_MEMBERS,351.6406178474426,31
1,f001_APARTMENTS_AVG,2553.8194069862366,216
1,f001_APARTMENTS_MODE,3500.2735228538513,297
1,f001_APARTMENTS_MEDI,2006.4530482292175,177
1,f001_DAYS_BIRTH,4926.408534049988,371
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_BIRTH,6583.212439060211,568
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,8396.364130020142,619
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,10619.144975662231,829
1,f001_DAYS_EMPLOYED,10835.323682785034,677
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,6985.079634189606,559
1,f001_DAYS_ID_PUBLISH,10817.684579372406,898
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,6916.175678253174,554
1,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,5845.70615696907,515
1,f001_DAYS_LAST_PHONE_CHANGE,7341.641103744507,613
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,7453.999675750732,639
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,7201.443709373474,530
1,f001_DEF_30_CNT_SOCIAL_CIRCLE,1551.4714846611023,117
1,f001_DEF_60_CNT_SOCIAL_CIRCLE,822.6072731018066,65
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,7616.9791078567505,687
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH,7894.093817234039,671
1,f001_DAYS_REGISTRATION,8378.824180603027,727
1,f001_DEF_30_CNT_SOCIAL_CIRCLE-d-OBS_30_CNT_SOCIAL_CIRCLE,4062.034379005432,325
1,f001_DEF_60_CNT_SOCIAL_CIRCLE-d-OBS_60_CNT_SOCIAL_CIRCLE,3560.4351000785828,267
1,f001_ELEVATORS_AVG,917.7971205711365,81
1,f001_EXT_SOURCES_1-2,6799.649594783783,552
1,f001_ELEVATORS_MODE,574.9142594337463,50
1,f001_EXT_SOURCES_1-2-3,4489.8220953941345,399
1,f001_EXT_SOURCES_sum,35458.503311634064,841
1,f001_EXT_SOURCES_2-1-3,3877.9781646728516,303
1,f001_ELEVATORS_MEDI,442.6589012145996,38
1,f001_EXT_SOURCES_mean,121052.74585914612,1173
1,f001_EXT_SOURCE_3,28404.31488752365,1361
1,f001_EXT_SOURCE_2,23768.885327100754,1007
1,f001_FLAG_DOCUMENT_6,60.90673065185547,5
1,f001_EXT_SOURCE_1,9213.669444561005,712
1,f001_EXT_SOURCES_std,7870.648790359497,661
1,f001_EXT_SOURCES_prod,10322.276340007782,414
1,f001_EXT_SOURCES_2-3,13203.531173229218,973
1,f001_FLAG_EMP_PHONE,0.0,0
1,f001_FLAG_PHONE,858.4827780723572,81
1,f001_FLAG_DOCUMENT_3,1131.4844193458557,61
1,f001_FLAG_WORK_PHONE,2444.0229325294495,183
1,f001_LIVE_CITY_NOT_WORK_CITY,244.0772213935852,21
1,f001_FLOORSMAX_AVG,1124.4862279891968,93
1,f001_FLOORSMAX_MEDI,520.7127876281738,50
1,f001_FLOORSMIN_MODE,802.227548122406,76
1,f001_FLOORSMAX_MODE,492.24888610839844,41
1,f001_HOUR_APPR_PROCESS_START,3926.96319437027,354
1,f001_FLOORSMIN_MEDI,676.5252480506897,60
1,f001_REGION_RATING_CLIENT,825.4746589660645,69
1,f001_FLOORSMIN_AVG,1392.9875798225403,120
1,f001_LIVINGAREA_MEDI,2755.4183959960938,240
1,f001_REG_CITY_NOT_LIVE_CITY,901.3094096183777,74
1,f001_LIVINGAREA_MODE,3387.6009497642517,292
1,f001_REGION_RATING_CLIENT_W_CITY,1538.7240324020386,124
1,f001_OWN_CAR_AGE,3595.8118014335632,265
1,f001_REGION_POPULATION_RELATIVE,8548.5517578125,757
1,f001_OWN_CAR_AGE-s-DAYS_EMPLOYED,6252.2436599731445,462
1,f001_LIVINGAREA_AVG,3052.3239698410034,244
1,f001_OWN_CAR_AGE-d-DAYS_EMPLOYED,5225.783573627472,400
1,f001_OWN_CAR_AGE-s-DAYS_BIRTH,4548.4415645599365,397
1,f001_REG_CITY_NOT_WORK_CITY,536.8901214599609,43
1,f001_alldocs_skew,1029.9488797187805,64
1,f001_OWN_CAR_AGE-d-DAYS_BIRTH,5528.274651050568,449
1,f001_alldocs_kurt,2686.466076850891,151
1,f001_TOTALAREA_MODE,4221.153078556061,355
1,f001_alldocs_std,155.45278930664062,13
1,f001_age_finish_payment,5984.4308886528015,449
1,f001_age,4924.591600418091,368
1,f002_NAME_CONTRACT_TYPE,76.70486116409302,7
1,f001_building_score_avg_sum,1726.0693397521973,135
1,f001_building_score_medi_sum,1450.243019580841,113
1,f001_building_score_avg_mean,2949.352771282196,252
1,f002_FONDKAPREMONT_MODE,104.83254098892212,11
1,f002_NAME_EDUCATION_TYPE,1258.8188071250916,59
1,f001_building_score_mode_mean,4284.994202613831,349
1,f002_HOUSETYPE_MODE,362.87857007980347,32
1,f001_building_score_medi_mean,2995.643376350403,266
1,f001_building_score_mode_sum,1919.659963607788,151
1,f002_NAME_HOUSING_TYPE,356.94342851638794,33
1,f002_NAME_INCOME_TYPE,541.0458607673645,47
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_std,0.0,0
1,f002_ORGANIZATION_TYPE,40340.315194129944,2749
1,f002_WALLSMATERIAL_MODE,743.869752407074,67
1,f001_maxwell_feature,7015.938395500183,374
1,f003_NAME_EDUCATION_TYPE_ta,7071.9987025260925,445
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_min,126.6081223487854,12
1,f003_NAME_FAMILY_STATUS_ta,5217.485935688019,437
1,f003_NAME_HOUSING_TYPE_ta,2768.5874314308167,254
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_mean,167.7476406097412,17
1,f003_NAME_INCOME_TYPE_ta,3070.372143268585,253
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_max_div_min,19.93096923828125,2
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_max,203.9358606338501,20
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_std_div_mean,32.81204032897949,2
1,f003_ORGANIZATION_TYPE_ta,6573.540524959564,513
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_pctchange_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_max,108.54079914093018,9
1,f003_OCCUPATION_TYPE_ta,11901.544345378876,890
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_mean,93.89281940460205,10
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_diff_std_div_mean,10.496100425720215,1
1,f104_active_AMT_ANNUITY_d_app_AMT_ANNUITY_min,192.9950704574585,17
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_diff_min,72.59909963607788,8
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_diff_max,187.8574709892273,16
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_max,113.63851022720337,10
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_std,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_diff_max_div_min,0.0,0
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,6666.910940170288,570
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_diff_mean,59.47142028808594,6
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_pctchange_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_diff_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_mean,115.29116201400757,8
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_diff_mean,95.20658016204834,10
1,f104_active_AMT_ANNUITY_d_app_AMT_CREDIT_min,157.4140429496765,16
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_std,13.15149974822998,1
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_diff_max,136.43954801559448,12
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_min,539.2495293617249,47
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_diff_min,102.85075902938843,9
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_diff_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_pctchange_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_std,8.728070259094238,1
1,f104_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_pctchange_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_min,709.0199790000916,56
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_diff_max_div_min,8.167280197143555,1
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_diff_std,14.151000022888184,1
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_pctchange_mean,51.69630002975464,6
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_diff_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_max_div_min,12.508399963378906,1
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_max,329.77830696105957,30
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_pctchange_max,90.1224102973938,9
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_pctchange_std,0.0,0
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_mean,189.99616813659668,16
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_std,0.0,0
1,f104_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_pctchange_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_mean,232.87886810302734,19
1,f104_active_AMT_ANNUITY_max,416.81466034054756,39
1,f104_active_AMT_ANNUITY_min,296.08360862731934,28
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,202.66637802124023,18
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_pctchange_std,28.406579971313477,3
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,215.7257080078125,19
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,202.94236850738525,16
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_diff_std_div_mean,0.0,0
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_diff_std,15.699799537658691,1
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_pctchange_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_diff_max_div_min,0.0,0
1,f104_active_AMT_ANNUITY_s_app_AMT_ANNUITY_max,211.67851972579956,19
