chunk,feature,importance_gain,importance_split,auc_train,auc_valid
1,f001_EXT_SOURCES_mean,134590.10580396652,574,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCES_sum,35317.62301826477,289,0.8410481966645256,0.7698336950321221
1,f001_AMT_CREDIT-d-AMT_ANNUITY,13433.907232761383,572,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCE_2,21269.25684571266,372,0.8410481966645256,0.7698336950321221
1,f002_ORGANIZATION_TYPE,39286.60324335098,2106,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCE_3,23558.895252376795,458,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCES_prod,7229.546083450317,152,0.8410481966645256,0.7698336950321221
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,9748.33076429367,264,0.8410481966645256,0.7698336950321221
1,f003_OCCUPATION_TYPE_ta,4388.229653120041,205,0.8410481966645256,0.7698336950321221
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,8261.457299232483,307,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCES_2-3,5004.792805075645,193,0.8410481966645256,0.7698336950321221
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,4610.439280509949,213,0.8410481966645256,0.7698336950321221
1,f001_DAYS_ID_PUBLISH,2507.9653203487396,159,0.8410481966645256,0.7698336950321221
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,2939.1069603562355,170,0.8410481966645256,0.7698336950321221
1,f001_DAYS_EMPLOYED,4305.9439660310745,104,0.8410481966645256,0.7698336950321221
1,f003_NAME_EDUCATION_TYPE_ta,4862.716324806213,157,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCE_1,3906.5977277755737,216,0.8410481966645256,0.7698336950321221
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,1365.7585009336472,80,0.8410481966645256,0.7698336950321221
1,f001_EXT_SOURCES_std,2191.894155740738,110,0.8410481966645256,0.7698336950321221
1,f001_CODE_GENDER,6043.047759056091,209,0.8410481966645256,0.7698336950321221
