chunk,feature,importance_gain,importance_split,auc_train,auc_valid
1,f001_EXT_SOURCES_mean,137897.80914,510,0.84758,0.77195
1,f001_EXT_SOURCES_sum,43586.25332,286,0.84758,0.77195
1,f002_ORGANIZATION_TYPE,35418.70221,1829,0.84758,0.77195
1,f001_EXT_SOURCE_3,19018.09624,394,0.84758,0.77195
1,f001_EXT_SOURCE_2,12429.32999,312,0.84758,0.77195
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,9314.8342,234,0.84758,0.77195
1,f001_EXT_SOURCES_prod,7976.54687,132,0.84758,0.77195
1,f101_approved_AMT_GOODS_PRICE_d_total_debt_mean,7093.32834,154,0.84758,0.77195
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,6518.06958,208,0.84758,0.77195
1,f001_CODE_GENDER,5519.55589,181,0.84758,0.77195
1,f001_AMT_CREDIT-d-AMT_ANNUITY,4890.62444,189,0.84758,0.77195
1,f001_DAYS_EMPLOYED,4763.58088,111,0.84758,0.77195
1,f001_AMT_ANNUITY-d-AMT_CREDIT,4559.13522,205,0.84758,0.77195
1,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_BIRTH_min,4224.9649,130,0.84758,0.77195
1,f002_OCCUPATION_TYPE,3978.08405,208,0.84758,0.77195
1,f003_NAME_EDUCATION_TYPE_ta,3742.47263,114,0.84758,0.77195
1,f105_prevapp_future_payment_12m,3739.28313,104,0.84758,0.77195
1,f001_EXT_SOURCE_1,3537.97966,180,0.84758,0.77195
1,f001_OWN_CAR_AGE-s-DAYS_EMPLOYED,3208.66769,133,0.84758,0.77195
1,f101_approved_AMT_GOODS_PRICE_d_total_debt_max,3111.97977,77,0.84758,0.77195
1,f001_EXT_SOURCES_2-3,3067.30193,146,0.84758,0.77195
1,f001_maxwell_feature,3008.58272,99,0.84758,0.77195
1,f105_approved_ratio,2932.65894,79,0.84758,0.77195
1,f101_completed_DAYS_FIRST_DUE_d_app_DAYS_EMPLOYED_min,2894.11642,67,0.84758,0.77195
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,2852.45062,127,0.84758,0.77195
1,f101_completed_DAYS_DECISION_d_app_DAYS_EMPLOYED_min,2702.57869,69,0.84758,0.77195
1,f101_approved_AMT_CREDIT_d_total_debt_mean,2598.80762,71,0.84758,0.77195
1,f101_refused_DAYS_DECISION_s_app_DAYS_LAST_PHONE_CHANGE_max_div_min,2565.30137,104,0.84758,0.77195
1,f003_OCCUPATION_TYPE_ta,2554.53972,103,0.84758,0.77195
1,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_BIRTH_mean,2274.194,80,0.84758,0.77195
1,f001_AMT_GOODS_PRICE,2250.53601,85,0.84758,0.77195
1,f101_approved_cnt_unpaid_std,2212.20362,70,0.84758,0.77195
1,f105_prevapp_future_payment_13m,2191.46295,73,0.84758,0.77195
1,f105_future_vs_past_max-d-income,2177.48132,57,0.84758,0.77195
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,2086.44826,119,0.84758,0.77195
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,2068.2911,95,0.84758,0.77195
1,f101_refused_AMT_GOODS_PRICE_d_total_debt_min,2054.41959,64,0.84758,0.77195
1,f101_refused_DAYS_DECISION_d_app_DAYS_BIRTH_min,2041.50639,88,0.84758,0.77195
1,f001_OWN_CAR_AGE-d-DAYS_BIRTH,2007.01084,102,0.84758,0.77195
1,f101_approved_interest_rate_min,2004.67294,64,0.84758,0.77195
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH,1955.95848,93,0.84758,0.77195
1,f105_DAYS_DECISION_ref_max,1933.14296,79,0.84758,0.77195
